		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 1.211914	M = 1250	N = 8	m = 10	n = 10000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
0000000001   0    0    0    0    0    0    0    0   9.807481 0.278799 SUCCESS   0
0000000011   0    0    0    0    0    0    0    0   9.807481 0.278799 SUCCESS   1
0000000101   0    0    0    0    0    1    0    0   8.619030 0.375446 SUCCESS   2
0000000111   0    0    0    0    0    0    0    0   9.807481 0.278799 SUCCESS   3
0000001001   0    0    0    1    0    0    0    1   7.430578 0.490967 SUCCESS   4
0000001011   0    0    0    0    0    1    0    0   8.619030 0.375446 SUCCESS   5
0000001101   1    0    0    0    0    0    0    0   8.619030 0.375446 SUCCESS   6
0000001111   0    0    0    0    0    1    0    0   8.619030 0.375446 SUCCESS   7
0000010001   0    0    0    0    0    0    0    0   9.807481 0.278799 SUCCESS   8
0000010011   0    0    0    0    0    1    0    1   7.430578 0.490967 SUCCESS   9
0000010101   0    0    0    0    0    0    0    0   9.807481 0.278799 SUCCESS  10
0000010111   1    0    0    0    0    1    0    0   7.430578 0.490967 SUCCESS  11
0000011001   0    0    0    0    0    0    0    0   9.807481 0.278799 SUCCESS  12
0000011011   1    0    0    0    0    0    0    0   8.619030 0.375446 SUCCESS  13
0000011101   0    0    0    0    0    0    0    1   8.619030 0.375446 SUCCESS  14
0000011111   0    0    0    0    1    1    0    0   7.430578 0.490967 SUCCESS  15
0000100011   0    0    0    1    0    0    0    0   8.619030 0.375446 SUCCESS  16
0000100101   0    0    0    0    0    0    0    1   8.619030 0.375446 SUCCESS  17
0000100111   0    0    0    0    0    1    1    1   6.242127 0.620130 SUCCESS  18
0000101001   0    0    0    0    0    0    0    0   9.807481 0.278799 SUCCESS  19
0000101011   0    0    0    1    0    1    0    1   6.242127 0.620130 SUCCESS  20
0000101101   0    0    0    0    0    0    0    0   9.807481 0.278799 SUCCESS  21
0000101111   0    2    0    0    0    2    1    0   7.203974 0.514794 SUCCESS  22
0000110001   0    0    0    0    0    0    0    0   9.807481 0.278799 SUCCESS  23
0000110011   0    1    0    0    0    0    0    0   8.619030 0.375446 SUCCESS  24
0000110101   0    0    0    0    0    0    0    0   9.807481 0.278799 SUCCESS  25
0000110111   1    1    0    0    1    0    1    0   5.053676 0.751824 SUCCESS  26
0000111001   0    0    1    0    0    0    0    0   8.619030 0.375446 SUCCESS  27
0000111011   0    0    0    0    0    1    1    2   6.723050 0.566787 SUCCESS  28
0000111101   1    0    0    0    1    1    2    0   5.534599 0.699204 SUCCESS  29
0000111111   3    1    0    0    0    2    3    0  10.797042 0.213466 SUCCESS  30
0001000011   0    0    0    0    0    0    1    0   8.619030 0.375446 SUCCESS  31
0001000101   1    0    0    0    0    0    0    0   8.619030 0.375446 SUCCESS  32
0001000111   0    0    0    1    0    0    0    0   8.619030 0.375446 SUCCESS  33
0001001001   0    0    0    1    0    0    0    0   8.619030 0.375446 SUCCESS  34
0001001011   0    0    0    0    0    0    0    0   9.807481 0.278799 SUCCESS  35
0001001101   2    0    0    1    0    3    0    0   9.354272 0.313297 SUCCESS  36
0001001111   0    0    0    0    0    1    2    1   6.723050 0.566787 SUCCESS  37
0001010011   0    0    0    0    0    0    0    0   9.807481 0.278799 SUCCESS  38
0001010101   1    0    0    0    0    0    0    1   7.430578 0.490967 SUCCESS  39
0001010111   0    0    0    1    1    1    1    1   3.865224 0.869074 SUCCESS  40
0001011001   0    0    0    0    0    0    0    0   9.807481 0.278799 SUCCESS  41
0001011011   1    0    0    1    0    0    0    1   6.242127 0.620130 SUCCESS  42
0001011101   1    0    1    0    1    0    0    0   6.242127 0.620130 SUCCESS  43
0001011111   1    3    0    1    2    3    1    2   7.712611 0.462035 SUCCESS  44
0001100101   0    1    1    1    0    0    0    1   5.053676 0.751824 SUCCESS  45
0001100111   0    2    0    0    0    0    0    1   7.911502 0.442162 SUCCESS  46
0001101001   0    1    0    0    2    0    0    0   7.911502 0.442162 SUCCESS  47
0001101011   1    0    1    0    3    1    0    0   7.684897 0.464840 SUCCESS  48
0001101101   1    0    0    0    1    0    0    0   7.430578 0.490967 SUCCESS  49
0001101111   2    1    1    1    2    0    3    2   5.562313 0.696127 SUCCESS  50
0001110011   0    0    1    1    1    0    0    0   6.242127 0.620130 SUCCESS  51
0001110101   0    0    1    0    0    0    0    0   8.619030 0.375446 SUCCESS  52
0001110111   1    1    4    1    1    1    1    1   6.750765 0.563747 SUCCESS  53
0001111001   1    0    1    0    0    2    0    0   6.723050 0.566787 SUCCESS  54
0001111011   2    1    1    1    0    2    2    1   2.931092 0.938607 SUCCESS  55
0001111101   2    1    2    2    1    0    3    1   5.562313 0.696127 SUCCESS  56
0001111111   6    2    0    5    1    3    2    2  36.600619 0.000014 FAILURE  57
0010000011   0    0    0    0    0    0    0    0   9.807481 0.278799 SUCCESS  58
0010000101   0    0    0    0    0    0    0    0   9.807481 0.278799 SUCCESS  59
0010000111   0    0    0    0    0    0    3    0  11.250251 0.187919 SUCCESS  60
0010001011   1    0    0    0    0    0    0    0   8.619030 0.375446 SUCCESS  61
0010001101   1    1    1    0    2    0    0    0   5.534599 0.699204 SUCCESS  62
0010001111   0    0    0    2    0    0    0    0   9.099953 0.333934 SUCCESS  63
0010010011   0    1    0    1    0    0    0    0   7.430578 0.490967 SUCCESS  64
0010010101   0    0    0    0    0    0    0    2   9.099953 0.333934 SUCCESS  65
0010010111   0    0    1    0    0    1    0    0   7.430578 0.490967 SUCCESS  66
0010011011   2    0    0    1    1    3    0    0   8.165820 0.417442 SUCCESS  67
0010011101   0    1    1    1    0    0    3    0   7.684897 0.464840 SUCCESS  68
0010011111   0    0    2    1    0    0    3    0   9.354272 0.313297 SUCCESS  69
0010100011   0    0    1    0    0    0    0    0   8.619030 0.375446 SUCCESS  70
0010100111   1    0    0    1    0    0    0    0   7.430578 0.490967 SUCCESS  71
0010101011   1    1    0    1    0    1    0    0   5.053676 0.751824 SUCCESS  72
0010101101   1    0    0    1    0    0    0    1   6.242127 0.620130 SUCCESS  73
0010101111   0    1    2    1    0    4    1    2  10.089514 0.258799 SUCCESS  74
0010110011   0    0    0    0    1    0    1    2   6.723050 0.566787 SUCCESS  75
0010110101   1    0    0    1    0    0    0    2   6.723050 0.566787 SUCCESS  76
0010110111   1    0    2    1    0    0    2    2   5.307994 0.724207 SUCCESS  77
0010111011   1    1    3    1    1    0    0    1   5.307994 0.724207 SUCCESS  78
0010111101   0    2    4    1    2    1    0    1  10.089514 0.258799 SUCCESS  79
0010111111   3    4    2    4    5    9    1    1  78.843625 0.000000 FAILURE  80
0011000101   0    1    0    0    0    0    0    0   8.619030 0.375446 SUCCESS  81
0011000111   2    1    0    1    1    2    0    1   3.638620 0.888169 SUCCESS  82
0011001011   0    0    0    0    0    0    0    1   8.619030 0.375446 SUCCESS  83
0011001101   0    0    1    0    2    0    3    2   8.646744 0.372967 SUCCESS  84
0011001111   0    1    0    2    1    0    0    1   5.534599 0.699204 SUCCESS  85
0011010101   3    0    1    0    0    1    0    0   8.873348 0.353093 SUCCESS  86
0011010111   2    1    2    2    3    1    1    0   5.562313 0.696127 SUCCESS  87
0011011011   0    1    1    2    1    1    1    0   3.157696 0.924075 SUCCESS  88
0011011101   2    4    2    1    2    3    0    2  12.494131 0.130481 SUCCESS  89
0011011111   0    1    0    3    4    4    7    3  48.767166 0.000000 FAILURE  90
0011100101   1    0    0    1    0    1    0    1   5.053676 0.751824 SUCCESS  91
0011101011   0    3    1    2    0    1    0    1   6.977369 0.539076 SUCCESS  92
0011101101   0    4    0    0    1    2    3    3  16.059485 0.041537 SUCCESS  93
0011101111   3    2    7    1    3    1    1    2  34.450321 0.000034 FAILURE  94
0011110101   1    0    1    2    3    3    0    4  14.871034 0.061702 SUCCESS  95
0011110111   7    3    1    2    3    4    1    3  43.051514 0.000001 FAILURE  96
0011111011   1    1    3    5    1    3    5    3  32.073419 0.000090 FAILURE  97
0011111101   3    0    3    2    2    3    6    2  29.923120 0.000218 FAILURE  98
0011111111   7    6    3    8    5    3    4    5  121.340950 0.000000 FAILURE  99
0100000011   1    0    0    0    0    1    0    0   7.430578 0.490967 SUCCESS 100
0100000111   0    1    0    0    0    0    0    1   7.430578 0.490967 SUCCESS 101
0100001011   1    1    0    0    0    0    0    0   7.430578 0.490967 SUCCESS 102
0100001111   0    1    0    0    0    0    4    0  13.881473 0.084908 SUCCESS 103
0100010011   0    1    0    0    0    0    1    0   7.430578 0.490967 SUCCESS 104
0100010111   0    1    1    0    2    0    0    0   6.723050 0.566787 SUCCESS 105
0100011011   1    1    1    0    1    0    0    2   4.346148 0.824621 SUCCESS 106
0100011111   2    0    1    4    0    0    1    0  11.985493 0.151852 SUCCESS 107
0100100011   1    0    0    0    1    0    0    0   7.430578 0.490967 SUCCESS 108
0100100111   0    1    1    1    0    0    1    0   5.053676 0.751824 SUCCESS 109
0100101011   0    1    1    0    2    1    1    0   4.346148 0.824621 SUCCESS 110
0100101111   0    0    4    1    2    3    0    1  13.428263 0.097939 SUCCESS 111
0100110011   0    1    0    4    2    0    2    0  12.466417 0.131575 SUCCESS 112
0100110111   1    1    1    2    2    4    0    0  10.089514 0.258799 SUCCESS 113
0100111011   0    2    2    0    0    2    3    2   8.420139 0.393542 SUCCESS 114
0100111111   1    1    1    6    0    0    3    2  24.887282 0.001624 FAILURE 115
0101000011   0    1    0    0    0    0    1    0   7.430578 0.490967 SUCCESS 116
